,Age,Role Models,Competitiveness,Access compared to Male counterparts,Role Model category,Competitiveness category,Access Category,Participation rate
0,21,6,Non-Competitive,<50%,Medium,High,Low,Low
1,37,10,Equal Competitive & Non-Competitive,<50%,High,Medium,Low,Low
2,35,10,Competitive,<50%,High,Low,Low,Low
3,49,1,Competitive,<50%,Low,Low,Low,Low
4,57,4,Equal Competitive & Non-Competitive,<50%,Medium,Medium,Low,Low
5,52,5,Competitive,50% to 100%,Medium,Low,Medium,Low
6,12,3,Competitive,<50%,Medium,Low,Low,Low
7,52,9,Competitive,<50%,High,Low,Low,Low
8,4,1,Competitive,<50%,Low,Low,Low,Low
9,21,10,Competitive,50% to 100%,High,Low,Medium,Low
10,58,4,Equal Competitive & Non-Competitive,<50%,Medium,Medium,Low,Low
11,36,8,Competitive,50% to 100%,High,Low,Medium,Low
12,10,7,Competitive,<50%,High,Low,Low,Low
13,35,7,Competitive,<50%,High,Low,Low,Low
14,62,4,Equal Competitive & Non-Competitive,<50%,Medium,Medium,Low,Low
15,54,3,Competitive,50% to 100%,Medium,Low,Medium,Low
16,6,4,Competitive,<50%,Medium,Low,Low,Low
17,44,4,Competitive,<50%,Medium,Low,Low,Low
18,47,3,Equal Competitive & Non-Competitive,Equal,Medium,Medium,High,Medium
19,37,1,Competitive,<50%,Low,Low,Low,Low
20,62,4,Competitive,<50%,Medium,Low,Low,Low
21,28,10,Non-Competitive,<50%,High,High,Low,Low
22,34,9,Equal Competitive & Non-Competitive,<50%,High,Medium,Low,Low
23,12,2,Competitive,Equal,Medium,Low,High,Low
24,33,7,Equal Competitive & Non-Competitive,<50%,High,Medium,Low,Low
25,5,6,Equal Competitive & Non-Competitive,<50%,Medium,Medium,Low,Low
26,26,10,Competitive,50% to 100%,High,Low,Medium,Low
27,42,7,Non-Competitive,<50%,High,High,Low,Low
28,55,1,Competitive,<50%,Low,Low,Low,Low
29,39,6,Competitive,<50%,Medium,Low,Low,Low
30,15,7,Competitive,<50%,High,Low,Low,Low
31,32,3,Competitive,<50%,Medium,Low,Low,Low
32,53,9,Competitive,<50%,High,Low,Low,Low
33,27,5,Competitive,<50%,Medium,Low,Low,Low
34,30,6,Competitive,<50%,Medium,Low,Low,Low
35,28,0,Competitive,<50%,Low,Low,Low,Low
36,47,10,Equal Competitive & Non-Competitive,<50%,High,Medium,Low,Low
37,53,3,Competitive,<50%,Medium,Low,Low,Low
38,7,2,Non-Competitive,<50%,Medium,High,Low,Low
39,10,1,Competitive,<50%,Low,Low,Low,Low
40,32,0,Competitive,50% to 100%,Low,Low,Medium,Low
41,15,0,Competitive,<50%,Low,Low,Low,Low
42,16,1,Competitive,50% to 100%,Low,Low,Medium,Low
43,60,7,Competitive,<50%,High,Low,Low,Low
44,30,8,Equal Competitive & Non-Competitive,<50%,High,Medium,Low,Low
45,10,4,Competitive,<50%,Medium,Low,Low,Low
46,37,1,Competitive,<50%,Low,Low,Low,Low
47,16,0,Competitive,<50%,Low,Low,Low,Low
48,25,0,Competitive,Equal,Low,Low,High,Low
49,16,5,Competitive,<50%,Medium,Low,Low,Low
50,25,10,Equal Competitive & Non-Competitive,50% to 100%,High,Medium,Medium,Medium
51,63,2,Competitive,50% to 100%,Medium,Low,Medium,Low
52,65,9,Equal Competitive & Non-Competitive,<50%,High,Medium,Low,Low
53,28,3,Competitive,50% to 100%,Medium,Low,Medium,Low
54,64,1,Competitive,<50%,Low,Low,Low,Low
55,6,8,Equal Competitive & Non-Competitive,<50%,High,Medium,Low,Low
56,25,10,Competitive,<50%,High,Low,Low,Low
57,14,9,Competitive,<50%,High,Low,Low,Low
58,61,2,Competitive,<50%,Medium,Low,Low,Low
59,65,1,Equal Competitive & Non-Competitive,<50%,Low,Medium,Low,Low
60,57,9,Competitive,<50%,High,Low,Low,Low
61,37,0,Competitive,<50%,Low,Low,Low,Low
62,47,3,Competitive,50% to 100%,Medium,Low,Medium,Low
63,44,2,Non-Competitive,<50%,Medium,High,Low,Low
64,51,8,Competitive,<50%,High,Low,Low,Low
65,11,0,Non-Competitive,50% to 100%,Low,High,Medium,Low
66,53,7,Equal Competitive & Non-Competitive,<50%,High,Medium,Low,Low
67,56,4,Competitive,<50%,Medium,Low,Low,Low
68,9,2,Competitive,50% to 100%,Medium,Low,Medium,Low
69,64,1,Competitive,<50%,Low,Low,Low,Low
70,42,10,Competitive,<50%,High,Low,Low,Low
71,42,8,Competitive,<50%,High,Low,Low,Low
72,23,9,Competitive,<50%,High,Low,Low,Low
73,38,3,Competitive,<50%,Medium,Low,Low,Low
74,14,8,Competitive,<50%,High,Low,Low,Low
75,29,3,Non-Competitive,<50%,Medium,High,Low,Low
76,10,6,Competitive,<50%,Medium,Low,Low,Low
77,46,4,Competitive,<50%,Medium,Low,Low,Low
78,16,0,Competitive,<50%,Low,Low,Low,Low
79,4,9,Competitive,<50%,High,Low,Low,Low
80,36,5,Competitive,<50%,Medium,Low,Low,Low
81,21,0,Competitive,<50%,Low,Low,Low,Low
82,6,7,Competitive,<50%,High,Low,Low,Low
83,65,7,Equal Competitive & Non-Competitive,50% to 100%,High,Medium,Medium,Medium
84,16,6,Competitive,50% to 100%,Medium,Low,Medium,Low
85,46,10,Equal Competitive & Non-Competitive,<50%,High,Medium,Low,Low
