,Age,Role Models,Competitiveness,Access compared to Male counterparts,Role Model category,Competitiveness category,Access Category,Participation rate
0,43,0,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current participation rate,Medium
1,6,1,Competitive,50% to 100%,Current rate,Current rate,Expected rate,Medium
2,33,2,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current participation rate,Medium
3,45,7,Competitive,<50%,Optimum rate,Current rate,Current participation rate,Medium
4,40,7,Competitive,50% to 100%,Optimum rate,Current rate,Expected rate,Medium
5,26,6,Competitive,<50%,Expected rate,Current rate,Current participation rate,Medium
6,10,3,Competitive,<50%,Expected rate,Current rate,Current participation rate,Medium
7,54,8,Equally Competitive & Non-Competitive,50% to 100%,Optimum rate,Expected rate,Expected rate,Medium
8,50,0,Equally Competitive & Non-Competitive,Equal,Current rate,Expected rate,Optimum participation rate,Medium
9,43,9,Equally Competitive & Non-Competitive,50% to 100%,Optimum rate,Expected rate,Expected rate,Medium
10,10,2,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Medium
11,39,8,Competitive,Equal,Optimum rate,Current rate,Optimum participation rate,Medium
12,9,5,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Medium
13,8,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current participation rate,Medium
14,38,7,Competitive,50% to 100%,Optimum rate,Current rate,Expected rate,Medium
15,12,3,Competitive,<50%,Expected rate,Current rate,Current participation rate,Medium
16,4,6,Competitive,<50%,Expected rate,Current rate,Current participation rate,Medium
17,6,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current participation rate,Medium
18,10,3,Competitive,Equal,Expected rate,Current rate,Optimum participation rate,Medium
19,42,2,Competitive,<50%,Expected rate,Current rate,Current participation rate,Medium
20,10,8,Competitive,<50%,Optimum rate,Current rate,Current participation rate,Medium
21,6,0,Competitive,<50%,Current rate,Current rate,Current participation rate,Medium
22,64,1,Competitive,<50%,Current rate,Current rate,Current participation rate,Medium
23,50,3,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current participation rate,Medium
24,4,1,Non-Competitive,50% to 100%,Current rate,Optimum rate,Expected rate,Medium
25,18,2,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Medium
26,59,2,Equally Competitive & Non-Competitive,50% to 100%,Expected rate,Expected rate,Expected rate,Medium
27,60,5,Competitive,<50%,Expected rate,Current rate,Current participation rate,Medium
28,31,9,Equally Competitive & Non-Competitive,50% to 100%,Optimum rate,Expected rate,Expected rate,Medium
29,11,3,Competitive,<50%,Expected rate,Current rate,Current participation rate,Medium
30,52,4,Competitive,<50%,Expected rate,Current rate,Current participation rate,Medium
31,8,1,Competitive,50% to 100%,Current rate,Current rate,Expected rate,Medium
32,7,7,Equally Competitive & Non-Competitive,<50%,Optimum rate,Expected rate,Current participation rate,Medium
33,4,2,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Medium
34,14,7,Competitive,50% to 100%,Optimum rate,Current rate,Expected rate,Medium
35,65,4,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Medium
36,25,2,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current participation rate,Medium
37,55,3,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Medium
38,64,4,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Medium
39,4,8,Competitive,50% to 100%,Optimum rate,Current rate,Expected rate,Medium
40,40,6,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current participation rate,Medium
41,53,3,Competitive,<50%,Expected rate,Current rate,Current participation rate,Medium
42,35,2,Equally Competitive & Non-Competitive,50% to 100%,Expected rate,Expected rate,Expected rate,Medium
43,18,3,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Medium
44,5,2,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Medium
45,26,2,Competitive,<50%,Expected rate,Current rate,Current participation rate,Medium
46,50,3,Equally Competitive & Non-Competitive,Equal,Expected rate,Expected rate,Optimum participation rate,Medium
47,37,0,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current participation rate,Medium
48,54,9,Competitive,50% to 100%,Optimum rate,Current rate,Expected rate,Medium
49,32,1,Competitive,<50%,Current rate,Current rate,Current participation rate,Medium
50,16,7,Competitive,<50%,Optimum rate,Current rate,Current participation rate,Medium
51,42,5,Competitive,<50%,Expected rate,Current rate,Current participation rate,Medium
52,48,1,Non-Competitive,<50%,Current rate,Optimum rate,Current participation rate,Medium
53,30,5,Equally Competitive & Non-Competitive,50% to 100%,Expected rate,Expected rate,Expected rate,Medium
54,16,6,Equally Competitive & Non-Competitive,50% to 100%,Expected rate,Expected rate,Expected rate,Medium
55,55,3,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current participation rate,Medium
56,57,3,Competitive,<50%,Expected rate,Current rate,Current participation rate,Medium
57,23,0,Equally Competitive & Non-Competitive,50% to 100%,Current rate,Expected rate,Expected rate,Medium
58,21,0,Competitive,<50%,Current rate,Current rate,Current participation rate,Medium
59,32,3,Equally Competitive & Non-Competitive,50% to 100%,Expected rate,Expected rate,Expected rate,Medium
