,Age,Role Models,Competitiveness,Access compared to Male counterparts,Role Model category,Competitiveness category,Access Category,Participation rate
0,38,7,Non-Competitive,Equal,Optimum rate,Optimum rate,Optimum rate,Optimum rate
1,65,7,Non-Competitive,50% to 100%,Optimum rate,Optimum rate,Expected rate,Optimum rate
2,29,6,Non-Competitive,50% to 100%,Expected rate,Optimum rate,Expected rate,Expected rate
3,37,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
4,44,4,Equally Competitive & Non-Competitive,50% to 100%,Expected rate,Expected rate,Expected rate,Expected rate
5,59,6,Equally Competitive & Non-Competitive,Equal,Expected rate,Expected rate,Optimum rate,Expected rate
6,4,0,Competitive,50% to 100%,Current rate,Current rate,Expected rate,Current rate
7,60,2,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate
8,38,6,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
9,49,8,Competitive,50% to 100%,Optimum rate,Current rate,Expected rate,Expected rate
10,28,6,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate
11,12,2,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate
12,22,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
13,50,5,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
14,24,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
15,43,5,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
16,46,8,Competitive,<50%,Optimum rate,Current rate,Current rate,Current rate
17,8,5,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate
18,42,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
19,5,9,Competitive,50% to 100%,Optimum rate,Current rate,Expected rate,Expected rate
20,12,8,Non-Competitive,50% to 100%,Optimum rate,Optimum rate,Expected rate,Optimum rate
21,51,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
22,44,6,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
23,37,0,Competitive,50% to 100%,Current rate,Current rate,Expected rate,Current rate
24,62,7,Equally Competitive & Non-Competitive,Equal,Optimum rate,Expected rate,Optimum rate,Optimum rate
25,30,4,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate
26,34,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
27,54,7,Competitive,50% to 100%,Optimum rate,Current rate,Expected rate,Expected rate
28,10,5,Equally Competitive & Non-Competitive,50% to 100%,Expected rate,Expected rate,Expected rate,Expected rate
29,34,1,Competitive,Equal,Current rate,Current rate,Optimum rate,Current rate
30,60,4,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
31,37,2,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate
32,62,6,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
33,10,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
34,60,0,Non-Competitive,50% to 100%,Current rate,Optimum rate,Expected rate,Expected rate
35,54,6,Equally Competitive & Non-Competitive,50% to 100%,Expected rate,Expected rate,Expected rate,Expected rate
36,7,2,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate
37,23,6,Equally Competitive & Non-Competitive,50% to 100%,Expected rate,Expected rate,Expected rate,Expected rate
38,50,9,Competitive,<50%,Optimum rate,Current rate,Current rate,Current rate
39,62,7,Competitive,<50%,Optimum rate,Current rate,Current rate,Current rate
40,19,4,Equally Competitive & Non-Competitive,50% to 100%,Expected rate,Expected rate,Expected rate,Expected rate
41,27,9,Competitive,<50%,Optimum rate,Current rate,Current rate,Current rate
42,56,4,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
43,25,1,Equally Competitive & Non-Competitive,50% to 100%,Current rate,Expected rate,Expected rate,Expected rate
44,16,7,Equally Competitive & Non-Competitive,50% to 100%,Optimum rate,Expected rate,Expected rate,Expected rate
45,38,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
46,16,6,Non-Competitive,50% to 100%,Expected rate,Optimum rate,Expected rate,Expected rate
47,48,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
48,49,6,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
49,22,0,Competitive,50% to 100%,Current rate,Current rate,Expected rate,Current rate
50,14,3,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate
51,44,4,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate
52,11,8,Competitive,<50%,Optimum rate,Current rate,Current rate,Current rate
53,13,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
54,10,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
55,59,4,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
56,28,7,Equally Competitive & Non-Competitive,<50%,Optimum rate,Expected rate,Current rate,Expected rate
57,55,1,Competitive,Equal,Current rate,Current rate,Optimum rate,Current rate
58,8,3,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate
59,57,0,Competitive,50% to 100%,Current rate,Current rate,Expected rate,Current rate
60,58,5,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate
61,55,4,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
62,62,5,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate
63,35,9,Competitive,50% to 100%,Optimum rate,Current rate,Expected rate,Expected rate
64,59,3,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate
65,60,1,Competitive,50% to 100%,Current rate,Current rate,Expected rate,Current rate
66,41,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
67,14,8,Competitive,50% to 100%,Optimum rate,Current rate,Expected rate,Expected rate
68,63,3,Non-Competitive,50% to 100%,Expected rate,Optimum rate,Expected rate,Expected rate
