,Age,Role Models,Competitiveness,Access compared to Male counterparts,Role Model category,Competitiveness category,Access Category,Participation rate
0,11,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
1,19,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
2,15,0,Competitive,76% to 99%,Current rate,Current rate,Optimum rate,Current rate
3,12,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
4,15,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
5,13,0,Equally Competitive & Non-Competitive,50% to 75%,Current rate,Expected rate,Optimum rate,Expected rate
6,14,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
7,10,2,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
8,19,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
9,12,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
10,18,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
11,17,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
12,17,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
13,17,5,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
14,15,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
15,10,5,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
16,14,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
17,19,3,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
18,12,5,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate
19,19,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
20,17,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
21,12,3,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate
22,10,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
23,14,1,Competitive,50% to 75%,Current rate,Current rate,Optimum rate,Current rate
24,11,4,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
25,11,2,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
26,10,3,Equally Competitive & Non-Competitive,76% to 99%,Expected rate,Expected rate,Optimum rate,Expected rate
27,16,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
28,14,4,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
29,18,2,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
30,10,1,Competitive,50% to 75%,Current rate,Current rate,Optimum rate,Current rate
31,12,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
32,14,7,Equally Competitive & Non-Competitive,50% to 75%,Optimum rate,Expected rate,Optimum rate,Optimum rate
33,15,5,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
34,11,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
35,19,4,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
36,13,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
37,10,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
38,17,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
39,13,6,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
40,18,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
41,18,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
42,18,3,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
43,19,5,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
44,18,0,Competitive,76% to 99%,Current rate,Current rate,Optimum rate,Current rate
45,14,1,Equally Competitive & Non-Competitive,50% to 75%,Current rate,Expected rate,Optimum rate,Expected rate
46,19,0,Competitive,50% to 75%,Current rate,Current rate,Optimum rate,Current rate
47,17,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
48,12,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
49,16,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
50,19,3,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
51,16,1,Competitive,50% to 75%,Current rate,Current rate,Optimum rate,Current rate
52,17,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
53,10,4,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
54,17,2,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate
55,12,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
56,16,0,Non-Competitive,76% to 99%,Current rate,Optimum rate,Optimum rate,Optimum rate
57,15,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
58,18,7,Competitive,<50%,Optimum rate,Current rate,Current rate,Current rate
59,14,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
60,18,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
61,18,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
62,19,1,Competitive,76% to 99%,Current rate,Current rate,Optimum rate,Current rate
63,16,8,Non-Competitive,50% to 75%,Optimum rate,Optimum rate,Optimum rate,Optimum rate
64,13,9,Competitive,50% to 75%,Optimum rate,Current rate,Optimum rate,Optimum rate
65,18,1,Competitive,50% to 75%,Current rate,Current rate,Optimum rate,Current rate
66,10,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
67,14,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
68,14,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
69,18,3,Competitive,76% to 99%,Expected rate,Current rate,Optimum rate,Expected rate
70,11,5,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
71,19,5,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
72,17,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
73,17,2,Competitive,76% to 99%,Expected rate,Current rate,Optimum rate,Expected rate
74,18,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
75,14,2,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
76,15,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
77,10,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
78,10,0,Competitive,50% to 75%,Current rate,Current rate,Optimum rate,Current rate
79,10,3,Equally Competitive & Non-Competitive,50% to 75%,Expected rate,Expected rate,Optimum rate,Expected rate
80,16,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
81,19,4,Competitive,76% to 99%,Expected rate,Current rate,Optimum rate,Expected rate
82,13,0,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
83,15,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
84,18,7,Competitive,50% to 75%,Optimum rate,Current rate,Optimum rate,Optimum rate
85,13,5,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
86,10,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
87,17,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
88,14,6,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate
89,12,2,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate
90,15,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
91,17,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
92,18,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
93,17,0,Equally Competitive & Non-Competitive,50% to 75%,Current rate,Expected rate,Optimum rate,Expected rate
94,17,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
95,15,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
96,19,2,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
97,18,2,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
98,19,0,Competitive,50% to 75%,Current rate,Current rate,Optimum rate,Current rate
99,18,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
