,Age,Role Models,Competitiveness,Access compared to Male counterparts,Role Model category,Competitiveness category,Access Category,Participation rate
0,12,1,Non-Competitive,<50%,Current rate,Optimum rate,Current rate,Current rate
1,10,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
2,19,4,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
3,18,1,Competitive,50% to 75%,Current rate,Current rate,Optimum rate,Current rate
4,11,6,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
5,19,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
6,19,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
7,16,4,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
8,19,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
9,17,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
10,16,4,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
11,14,5,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate
12,14,0,Competitive,50% to 75%,Current rate,Current rate,Optimum rate,Current rate
13,12,0,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
14,18,5,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
15,15,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
16,13,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
17,10,0,Non-Competitive,<50%,Current rate,Optimum rate,Current rate,Current rate
18,15,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
19,11,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
20,19,2,Equally Competitive & Non-Competitive,50% to 75%,Expected rate,Expected rate,Optimum rate,Expected rate
21,15,3,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
22,10,3,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
23,13,5,Competitive,76% to 99%,Expected rate,Current rate,Optimum rate,Expected rate
24,17,8,Equally Competitive & Non-Competitive,50% to 75%,Optimum rate,Expected rate,Optimum rate,Optimum rate
25,12,4,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
26,11,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
27,10,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
28,15,4,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
29,11,4,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
30,17,4,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
31,13,2,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
32,16,0,Non-Competitive,<50%,Current rate,Optimum rate,Current rate,Current rate
33,10,3,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
34,18,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
35,18,1,Equally Competitive & Non-Competitive,50% to 75%,Current rate,Expected rate,Optimum rate,Expected rate
36,16,9,Equally Competitive & Non-Competitive,50% to 75%,Optimum rate,Expected rate,Optimum rate,Optimum rate
37,12,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
38,18,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
39,17,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
40,16,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
41,19,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
42,12,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
43,19,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
44,19,1,Competitive,50% to 75%,Current rate,Current rate,Optimum rate,Current rate
45,18,4,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
46,15,2,Equally Competitive & Non-Competitive,76% to 99%,Expected rate,Expected rate,Optimum rate,Expected rate
47,14,4,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
48,12,0,Equally Competitive & Non-Competitive,50% to 75%,Current rate,Expected rate,Optimum rate,Expected rate
49,17,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
50,16,9,Equally Competitive & Non-Competitive,76% to 99%,Optimum rate,Expected rate,Optimum rate,Optimum rate
51,10,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
52,12,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
53,18,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
54,19,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
55,10,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
56,18,0,Non-Competitive,50% to 75%,Current rate,Optimum rate,Optimum rate,Optimum rate
57,16,2,Non-Competitive,50% to 75%,Expected rate,Optimum rate,Optimum rate,Optimum rate
58,13,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
59,12,6,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
60,19,1,Competitive,76% to 99%,Current rate,Current rate,Optimum rate,Current rate
61,16,0,Competitive,50% to 75%,Current rate,Current rate,Optimum rate,Current rate
62,19,1,Non-Competitive,<50%,Current rate,Optimum rate,Current rate,Current rate
63,13,2,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
64,18,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
65,12,2,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
66,15,0,Equally Competitive & Non-Competitive,76% to 99%,Current rate,Expected rate,Optimum rate,Expected rate
67,16,2,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
68,18,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
69,17,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
70,14,3,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate
71,14,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
72,15,4,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
73,13,0,Competitive,76% to 99%,Current rate,Current rate,Optimum rate,Current rate
74,12,2,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
75,19,1,Equally Competitive & Non-Competitive,50% to 75%,Current rate,Expected rate,Optimum rate,Expected rate
76,19,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
77,11,0,Equally Competitive & Non-Competitive,50% to 75%,Current rate,Expected rate,Optimum rate,Expected rate
78,16,4,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
79,15,1,Non-Competitive,<50%,Current rate,Optimum rate,Current rate,Current rate
80,13,4,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
81,15,0,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
82,14,2,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
83,16,9,Competitive,76% to 99%,Optimum rate,Current rate,Optimum rate,Optimum rate
84,14,1,Equally Competitive & Non-Competitive,50% to 75%,Current rate,Expected rate,Optimum rate,Expected rate
85,15,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
86,10,4,Equally Competitive & Non-Competitive,50% to 75%,Expected rate,Expected rate,Optimum rate,Expected rate
87,15,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
88,18,2,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
89,10,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
90,12,1,Competitive,50% to 75%,Current rate,Current rate,Optimum rate,Current rate
91,12,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
92,16,2,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
93,12,5,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
94,10,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
95,19,7,Competitive,<50%,Optimum rate,Current rate,Current rate,Current rate
96,12,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
97,16,0,Non-Competitive,<50%,Current rate,Optimum rate,Current rate,Current rate
98,16,7,Competitive,<50%,Optimum rate,Current rate,Current rate,Current rate
99,11,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
