,Age,Role Models,Competitiveness,Access compared to Male counterparts,Role Model category,Competitiveness category,Access Category,Participation rate
0,33,4,Competitive,50% to 100%,Medium,Low,Medium,Low
1,26,1,Competitive,<50%,Low,Low,Low,Low
2,52,2,Competitive,<50%,Medium,Low,Low,Low
3,59,7,Non-Competitive,50% to 100%,High,Medium,Medium,Medium
4,12,1,Competitive,50% to 100%,Low,Low,Medium,Low
5,11,2,Non-Competitive,<50%,Medium,Medium,Low,Low
6,34,4,Competitive,50% to 100%,Medium,Low,Medium,Low
7,63,1,Competitive,Equal,Low,Low,High,Low
8,44,0,Competitive,<50%,Low,Low,Low,Low
9,41,1,Competitive,50% to 100%,Low,Low,Medium,Low
10,13,6,Competitive,<50%,Medium,Low,Low,Low
11,54,0,Non-Competitive,<50%,Low,Medium,Low,Low
12,34,4,Competitive,50% to 100%,Medium,Low,Medium,Low
13,11,2,Non-Competitive,50% to 100%,Medium,Medium,Medium,Medium
14,58,1,Competitive,<50%,Low,Low,Low,Low
15,19,9,Competitive,<50%,High,Low,Low,Low
16,44,8,Competitive,50% to 100%,High,Low,Medium,Low
17,11,4,Non-Competitive,Equal,Medium,Medium,High,Medium
18,53,7,Non-Competitive,50% to 100%,High,Medium,Medium,Medium
19,56,1,Competitive,50% to 100%,Low,Low,Medium,Low
20,20,1,Competitive,50% to 100%,Low,Low,Medium,Low
21,55,2,Non-Competitive,50% to 100%,Medium,Medium,Medium,Medium
22,50,2,Non-Competitive,<50%,Medium,Medium,Low,Low
23,42,7,Non-Competitive,<50%,High,Medium,Low,Low
24,37,9,Competitive,Equal,High,Low,High,Low
25,43,1,Non-Competitive,<50%,Low,Medium,Low,Low
26,27,4,Competitive,<50%,Medium,Low,Low,Low
27,25,9,Non-Competitive,50% to 100%,High,Medium,Medium,Medium
28,50,7,Competitive,<50%,High,Low,Low,Low
29,20,2,Non-Competitive,<50%,Medium,Medium,Low,Low
30,65,3,Non-Competitive,<50%,Medium,Medium,Low,Low
31,22,3,Competitive,<50%,Medium,Low,Low,Low
32,36,1,Competitive,50% to 100%,Low,Low,Medium,Low
33,4,3,Non-Competitive,50% to 100%,Medium,Medium,Medium,Medium
34,4,1,Non-Competitive,<50%,Low,Medium,Low,Low
35,27,1,Competitive,<50%,Low,Low,Low,Low
36,33,9,Competitive,<50%,High,Low,Low,Low
37,19,4,Competitive,<50%,Medium,Low,Low,Low
38,21,7,Non-Competitive,<50%,High,Medium,Low,Low
39,47,3,Competitive,50% to 100%,Medium,Low,Medium,Low
40,53,4,Non-Competitive,<50%,Medium,Medium,Low,Low
41,31,4,Non-Competitive,<50%,Medium,Medium,Low,Low
42,63,0,Competitive,<50%,Low,Low,Low,Low
43,12,5,Competitive,50% to 100%,Medium,Low,Medium,Low
44,61,1,Competitive,50% to 100%,Low,Low,Medium,Low
45,9,2,Competitive,50% to 100%,Medium,Low,Medium,Low
46,54,1,Non-Competitive,50% to 100%,Low,Medium,Medium,Low
47,46,7,Non-Competitive,50% to 100%,High,Medium,Medium,Medium
48,25,6,Competitive,<50%,Medium,Low,Low,Low
49,27,5,Competitive,50% to 100%,Medium,Low,Medium,Low
