,Age,Role Models,Competitiveness,Access compared to Male counterparts,Role Model category,Competitiveness category,Access Category,Participation rate
0,11,2,Non-Competitive,<50%,Medium,Medium,Low,Low
1,19,4,Competitive,<50%,Medium,Low,Low,Low
2,7,9,Competitive,<50%,High,Low,Low,Low
3,29,1,Competitive,50% to 100%,Low,Low,Medium,Low
4,53,0,Non-Competitive,<50%,Low,Medium,Low,Low
5,13,9,Non-Competitive,<50%,High,Medium,Low,Low
6,36,3,Non-Competitive,50% to 100%,Medium,Medium,Medium,Medium
7,40,2,Competitive,50% to 100%,Medium,Low,Medium,Low
8,8,2,Competitive,Equal,Medium,Low,High,Low
9,53,3,Non-Competitive,50% to 100%,Medium,Medium,Medium,Medium
10,24,1,Competitive,<50%,Low,Low,Low,Low
11,43,9,Competitive,50% to 100%,High,Low,Medium,Low
12,64,4,Competitive,Equal,Medium,Low,High,Low
13,51,5,Non-Competitive,50% to 100%,Medium,Medium,Medium,Medium
14,44,0,Non-Competitive,50% to 100%,Low,Medium,Medium,Low
15,43,3,Competitive,<50%,Medium,Low,Low,Low
16,50,5,Non-Competitive,<50%,Medium,Medium,Low,Low
17,31,5,Competitive,Equal,Medium,Low,High,Low
18,20,6,Competitive,Equal,Medium,Low,High,Low
19,28,5,Non-Competitive,<50%,Medium,Medium,Low,Low
20,8,3,Competitive,50% to 100%,Medium,Low,Medium,Low
21,5,2,Non-Competitive,<50%,Medium,Medium,Low,Low
22,53,5,Non-Competitive,50% to 100%,Medium,Medium,Medium,Medium
23,26,7,Competitive,50% to 100%,High,Low,Medium,Low
24,20,2,Non-Competitive,Equal,Medium,Medium,High,Medium
25,33,1,Non-Competitive,<50%,Low,Medium,Low,Low
26,64,2,Non-Competitive,50% to 100%,Medium,Medium,Medium,Medium
27,35,3,Competitive,50% to 100%,Medium,Low,Medium,Low
28,32,6,Competitive,<50%,Medium,Low,Low,Low
29,42,3,Competitive,<50%,Medium,Low,Low,Low
30,65,5,Competitive,<50%,Medium,Low,Low,Low
31,56,8,Competitive,50% to 100%,High,Low,Medium,Low
32,19,1,Competitive,<50%,Low,Low,Low,Low
33,47,5,Non-Competitive,50% to 100%,Medium,Medium,Medium,Medium
34,17,4,Non-Competitive,<50%,Medium,Medium,Low,Low
35,51,8,Competitive,50% to 100%,High,Low,Medium,Low
36,19,0,Competitive,50% to 100%,Low,Low,Medium,Low
37,61,2,Competitive,50% to 100%,Medium,Low,Medium,Low
38,34,3,Competitive,50% to 100%,Medium,Low,Medium,Low
39,36,3,Competitive,<50%,Medium,Low,Low,Low
40,55,1,Non-Competitive,<50%,Low,Medium,Low,Low
41,60,7,Competitive,50% to 100%,High,Low,Medium,Low
42,19,4,Non-Competitive,<50%,Medium,Medium,Low,Low
43,48,6,Non-Competitive,<50%,Medium,Medium,Low,Low
44,42,2,Non-Competitive,50% to 100%,Medium,Medium,Medium,Medium
45,60,6,Non-Competitive,<50%,Medium,Medium,Low,Low
46,17,1,Competitive,50% to 100%,Low,Low,Medium,Low
47,4,8,Competitive,50% to 100%,High,Low,Medium,Low
48,43,6,Competitive,<50%,Medium,Low,Low,Low
49,34,2,Competitive,<50%,Medium,Low,Low,Low
50,57,1,Non-Competitive,50% to 100%,Low,Medium,Medium,Low
51,50,6,Non-Competitive,50% to 100%,Medium,Medium,Medium,Medium
52,20,8,Non-Competitive,Equal,High,Medium,High,High
53,33,2,Competitive,<50%,Medium,Low,Low,Low
54,49,3,Competitive,50% to 100%,Medium,Low,Medium,Low
55,38,6,Competitive,50% to 100%,Medium,Low,Medium,Low
56,23,4,Non-Competitive,50% to 100%,Medium,Medium,Medium,Medium
57,31,0,Competitive,<50%,Low,Low,Low,Low
58,22,4,Competitive,<50%,Medium,Low,Low,Low
59,34,2,Non-Competitive,<50%,Medium,Medium,Low,Low
60,5,3,Competitive,<50%,Medium,Low,Low,Low
61,52,0,Non-Competitive,50% to 100%,Low,Medium,Medium,Low
62,37,7,Competitive,<50%,High,Low,Low,Low
63,6,3,Non-Competitive,<50%,Medium,Medium,Low,Low
64,23,2,Non-Competitive,<50%,Medium,Medium,Low,Low
65,14,3,Competitive,50% to 100%,Medium,Low,Medium,Low
66,44,6,Non-Competitive,50% to 100%,Medium,Medium,Medium,Medium
67,32,1,Non-Competitive,<50%,Low,Medium,Low,Low
68,13,4,Competitive,<50%,Medium,Low,Low,Low
69,45,3,Competitive,50% to 100%,Medium,Low,Medium,Low
70,61,6,Competitive,<50%,Medium,Low,Low,Low
71,31,6,Non-Competitive,<50%,Medium,Medium,Low,Low
72,35,8,Non-Competitive,<50%,High,Medium,Low,Low
73,35,5,Competitive,<50%,Medium,Low,Low,Low
74,12,5,Competitive,Equal,Medium,Low,High,Low
75,22,6,Competitive,<50%,Medium,Low,Low,Low
76,16,1,Competitive,50% to 100%,Low,Low,Medium,Low
77,49,1,Non-Competitive,<50%,Low,Medium,Low,Low
78,13,8,Non-Competitive,50% to 100%,High,Medium,Medium,Medium
79,12,6,Competitive,50% to 100%,Medium,Low,Medium,Low
80,55,1,Non-Competitive,50% to 100%,Low,Medium,Medium,Low
81,36,0,Competitive,50% to 100%,Low,Low,Medium,Low
82,48,1,Non-Competitive,<50%,Low,Medium,Low,Low
83,6,7,Non-Competitive,<50%,High,Medium,Low,Low
84,55,1,Non-Competitive,<50%,Low,Medium,Low,Low
85,23,2,Competitive,<50%,Medium,Low,Low,Low
86,36,3,Competitive,50% to 100%,Medium,Low,Medium,Low
87,44,4,Non-Competitive,50% to 100%,Medium,Medium,Medium,Medium
88,38,4,Non-Competitive,50% to 100%,Medium,Medium,Medium,Medium
89,65,6,Non-Competitive,50% to 100%,Medium,Medium,Medium,Medium
90,44,5,Competitive,<50%,Medium,Low,Low,Low
91,9,7,Non-Competitive,50% to 100%,High,Medium,Medium,Medium
92,59,3,Non-Competitive,50% to 100%,Medium,Medium,Medium,Medium
93,30,1,Non-Competitive,50% to 100%,Low,Medium,Medium,Low
94,64,7,Non-Competitive,<50%,High,Medium,Low,Low
95,19,1,Non-Competitive,50% to 100%,Low,Medium,Medium,Low
96,20,2,Competitive,50% to 100%,Medium,Low,Medium,Low
97,54,4,Competitive,<50%,Medium,Low,Low,Low
98,47,0,Non-Competitive,<50%,Low,Medium,Low,Low
99,38,8,Competitive,<50%,High,Low,Low,Low
