,Age,Role Models,Competitiveness,Access compared to Male counterparts,Role Model category,Competitiveness category,Access Category,Participation rate
0,53,7,Competitive,<50%,Optimum rate,Current rate,Current rate,Current rate
1,55,1,Competitive,50% to 100%,Current rate,Current rate,Expected rate,Current rate
2,58,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
3,35,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
4,61,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
5,55,5,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
6,6,3,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate
7,56,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
8,24,2,Equally Competitive & Non-Competitive,50% to 100%,Expected rate,Expected rate,Expected rate,Expected rate
9,55,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
10,65,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
11,25,3,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate
12,64,9,Competitive,<50%,Optimum rate,Current rate,Current rate,Current rate
13,10,0,Equally Competitive & Non-Competitive,50% to 100%,Current rate,Expected rate,Expected rate,Expected rate
14,14,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
15,14,5,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
16,42,1,Equally Competitive & Non-Competitive,50% to 100%,Current rate,Expected rate,Expected rate,Expected rate
17,52,6,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
18,21,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
19,56,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
20,16,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
21,26,4,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate
22,60,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
23,63,2,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
24,35,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
25,45,4,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
26,48,7,Competitive,<50%,Optimum rate,Current rate,Current rate,Current rate
27,54,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
28,43,7,Competitive,<50%,Optimum rate,Current rate,Current rate,Current rate
29,14,0,Competitive,50% to 100%,Current rate,Current rate,Expected rate,Current rate
30,4,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
31,13,5,Equally Competitive & Non-Competitive,50% to 100%,Expected rate,Expected rate,Expected rate,Expected rate
32,30,0,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
33,37,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
34,22,0,Equally Competitive & Non-Competitive,50% to 100%,Current rate,Expected rate,Expected rate,Expected rate
35,17,4,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate
36,55,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
37,39,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
38,22,1,Competitive,50% to 100%,Current rate,Current rate,Expected rate,Current rate
39,58,6,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
40,21,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
41,36,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
