,Age,Role Models,Competitiveness,Access compared to Male counterparts,Role Model category,Competitiveness category,Access Category,Participation rate
0,16,2,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate
1,11,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
2,15,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
3,16,1,Equally Competitive & Non-Competitive,Equal,Current rate,Expected rate,Optimum rate,Expected rate
4,19,3,Competitive,Equal,Expected rate,Current rate,Optimum rate,Expected rate
5,17,4,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate
6,18,9,Competitive,<50%,Optimum rate,Current rate,Current rate,Current rate
7,14,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
8,19,4,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
9,16,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
10,17,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
11,10,1,Competitive,50% to 100%,Current rate,Current rate,Expected rate,Current rate
12,12,0,Competitive,50% to 100%,Current rate,Current rate,Expected rate,Current rate
13,13,3,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate
14,12,4,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
15,14,4,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
16,19,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
17,14,1,Equally Competitive & Non-Competitive,50% to 100%,Current rate,Expected rate,Expected rate,Expected rate
18,14,5,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate
19,15,4,Equally Competitive & Non-Competitive,50% to 100%,Expected rate,Expected rate,Expected rate,Expected rate
20,11,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
21,16,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
22,12,2,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate
23,17,5,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
24,15,4,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
25,17,5,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
26,12,6,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
27,12,0,Non-Competitive,<50%,Current rate,Optimum rate,Current rate,Current rate
28,15,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
29,13,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
30,19,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
31,12,4,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
32,17,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
33,10,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
