,Age,Role Models,Competitiveness,Access compared to Male counterparts,Role Model category,Competitiveness category,Access Category,Participation rate
0,24,1,Equally Competitive & Non-Competitive,76% to 99%,Current rate,Expected rate,Optimum rate,Expected rate
1,14,4,Equally Competitive & Non-Competitive,76% to 99%,Expected rate,Expected rate,Optimum rate,Expected rate
2,31,9,Equally Competitive & Non-Competitive,<50%,Optimum rate,Expected rate,Current rate,Expected rate
3,62,2,Competitive,Equal,Expected rate,Current rate,Optimum rate,Expected rate
4,11,6,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
5,31,6,Competitive,76% to 99%,Expected rate,Current rate,Optimum rate,Expected rate
6,35,2,Equally Competitive & Non-Competitive,76% to 99%,Expected rate,Expected rate,Optimum rate,Expected rate
7,11,2,Equally Competitive & Non-Competitive,76% to 99%,Expected rate,Expected rate,Optimum rate,Expected rate
8,52,3,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
9,31,2,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
10,53,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
11,65,3,Equally Competitive & Non-Competitive,50% to 75%,Expected rate,Expected rate,Optimum rate,Expected rate
12,62,6,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate
13,26,3,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
14,24,2,Equally Competitive & Non-Competitive,50% to 75%,Expected rate,Expected rate,Optimum rate,Expected rate
15,25,2,Competitive,76% to 99%,Expected rate,Current rate,Optimum rate,Expected rate
16,58,3,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
17,53,6,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
18,4,6,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
19,5,6,Equally Competitive & Non-Competitive,50% to 75%,Expected rate,Expected rate,Optimum rate,Expected rate
20,51,2,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
21,46,5,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
22,63,1,Non-Competitive,76% to 99%,Current rate,Optimum rate,Optimum rate,Optimum rate
23,9,1,Equally Competitive & Non-Competitive,50% to 75%,Current rate,Expected rate,Optimum rate,Expected rate
24,12,1,Non-Competitive,50% to 75%,Current rate,Optimum rate,Optimum rate,Optimum rate
25,63,5,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate
26,6,3,Competitive,76% to 99%,Expected rate,Current rate,Optimum rate,Expected rate
27,65,2,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
28,46,3,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate
29,6,3,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
30,28,4,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
31,40,6,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
32,16,6,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
33,38,2,Competitive,76% to 99%,Expected rate,Current rate,Optimum rate,Expected rate
34,11,2,Equally Competitive & Non-Competitive,50% to 75%,Expected rate,Expected rate,Optimum rate,Expected rate
35,58,2,Equally Competitive & Non-Competitive,50% to 75%,Expected rate,Expected rate,Optimum rate,Expected rate
36,43,1,Equally Competitive & Non-Competitive,50% to 75%,Current rate,Expected rate,Optimum rate,Expected rate
37,9,4,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate
38,7,7,Competitive,50% to 75%,Optimum rate,Current rate,Optimum rate,Optimum rate
39,52,7,Competitive,<50%,Optimum rate,Current rate,Current rate,Current rate
40,15,5,Non-Competitive,50% to 75%,Expected rate,Optimum rate,Optimum rate,Optimum rate
41,8,1,Non-Competitive,50% to 75%,Current rate,Optimum rate,Optimum rate,Optimum rate
42,65,2,Equally Competitive & Non-Competitive,50% to 75%,Expected rate,Expected rate,Optimum rate,Expected rate
43,59,8,Equally Competitive & Non-Competitive,50% to 75%,Optimum rate,Expected rate,Optimum rate,Optimum rate
44,40,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
45,8,1,Competitive,76% to 99%,Current rate,Current rate,Optimum rate,Current rate
46,49,3,Equally Competitive & Non-Competitive,50% to 75%,Expected rate,Expected rate,Optimum rate,Expected rate
47,23,3,Equally Competitive & Non-Competitive,50% to 75%,Expected rate,Expected rate,Optimum rate,Expected rate
48,37,4,Equally Competitive & Non-Competitive,50% to 75%,Expected rate,Expected rate,Optimum rate,Expected rate
49,7,1,Non-Competitive,50% to 75%,Current rate,Optimum rate,Optimum rate,Optimum rate
50,62,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
51,6,5,Competitive,Equal,Expected rate,Current rate,Optimum rate,Expected rate
52,37,2,Non-Competitive,50% to 75%,Expected rate,Optimum rate,Optimum rate,Optimum rate
53,64,1,Competitive,50% to 75%,Current rate,Current rate,Optimum rate,Current rate
54,29,1,Competitive,50% to 75%,Current rate,Current rate,Optimum rate,Current rate
55,60,5,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
56,46,5,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
57,65,2,Equally Competitive & Non-Competitive,50% to 75%,Expected rate,Expected rate,Optimum rate,Expected rate
58,46,7,Equally Competitive & Non-Competitive,50% to 75%,Optimum rate,Expected rate,Optimum rate,Optimum rate
59,7,2,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
60,6,3,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate
61,49,5,Non-Competitive,50% to 75%,Expected rate,Optimum rate,Optimum rate,Optimum rate
62,30,5,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
63,25,2,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
64,7,1,Equally Competitive & Non-Competitive,50% to 75%,Current rate,Expected rate,Optimum rate,Expected rate
65,8,2,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
66,48,3,Competitive,76% to 99%,Expected rate,Current rate,Optimum rate,Expected rate
67,62,2,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
68,43,5,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
69,59,2,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
70,21,4,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate
71,47,4,Competitive,76% to 99%,Expected rate,Current rate,Optimum rate,Expected rate
72,63,2,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
73,56,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
74,29,4,Equally Competitive & Non-Competitive,Equal,Expected rate,Expected rate,Optimum rate,Expected rate
75,22,4,Equally Competitive & Non-Competitive,50% to 75%,Expected rate,Expected rate,Optimum rate,Expected rate
76,23,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
77,55,4,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
78,22,2,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
79,9,2,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate
80,65,4,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
81,31,3,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
82,39,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
83,36,4,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate
84,39,1,Equally Competitive & Non-Competitive,50% to 75%,Current rate,Expected rate,Optimum rate,Expected rate
85,5,3,Competitive,Equal,Expected rate,Current rate,Optimum rate,Expected rate
86,13,9,Equally Competitive & Non-Competitive,50% to 75%,Optimum rate,Expected rate,Optimum rate,Optimum rate
87,41,5,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
88,30,6,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
89,38,3,Equally Competitive & Non-Competitive,76% to 99%,Expected rate,Expected rate,Optimum rate,Expected rate
90,7,5,Equally Competitive & Non-Competitive,50% to 75%,Expected rate,Expected rate,Optimum rate,Expected rate
91,15,0,Competitive,50% to 75%,Current rate,Current rate,Optimum rate,Current rate
92,16,6,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
93,40,9,Competitive,76% to 99%,Optimum rate,Current rate,Optimum rate,Optimum rate
94,33,8,Non-Competitive,<50%,Optimum rate,Optimum rate,Current rate,Optimum rate
95,29,2,Non-Competitive,50% to 75%,Expected rate,Optimum rate,Optimum rate,Optimum rate
96,26,3,Competitive,76% to 99%,Expected rate,Current rate,Optimum rate,Expected rate
97,4,5,Equally Competitive & Non-Competitive,50% to 75%,Expected rate,Expected rate,Optimum rate,Expected rate
98,9,7,Competitive,<50%,Optimum rate,Current rate,Current rate,Current rate
99,47,1,Competitive,76% to 99%,Current rate,Current rate,Optimum rate,Current rate
