,Age,Role Models,Competitiveness,Competitiveness1
0,12,0,1,Non-Competitive
1,28,0,1,Non-Competitive
2,71,0,0,Non-Competitive
3,83,0,0,Non-Competitive
4,52,0,1,Non-Competitive
5,14,0,1,Non-Competitive
6,56,0,0,Non-Competitive
7,57,0,1,Non-Competitive
8,70,0,1,Non-Competitive
9,18,0,1,Non-Competitive
10,38,0,1,Non-Competitive
11,28,0,0,Non-Competitive
12,19,0,0,Non-Competitive
13,64,0,1,Non-Competitive
14,62,0,1,Non-Competitive
15,20,0,1,Non-Competitive
16,13,0,0,Non-Competitive
17,6,0,0,Non-Competitive
18,31,0,0,Non-Competitive
19,8,0,1,Non-Competitive
20,35,0,0,Non-Competitive
21,5,0,1,Non-Competitive
22,17,0,1,Non-Competitive
23,8,0,0,Non-Competitive
24,63,0,1,Non-Competitive
25,71,0,0,Non-Competitive
26,11,0,0,Non-Competitive
27,53,0,0,Non-Competitive
28,51,0,0,Non-Competitive
29,69,0,0,Non-Competitive
30,65,0,1,Non-Competitive
31,18,0,1,Non-Competitive
32,59,0,1,Non-Competitive
33,75,0,0,Non-Competitive
34,84,0,1,Non-Competitive
35,6,0,1,Non-Competitive
36,23,0,0,Non-Competitive
37,67,0,1,Non-Competitive
38,57,0,0,Non-Competitive
39,31,0,0,Non-Competitive
40,60,0,0,Non-Competitive
41,34,0,0,Non-Competitive
42,52,0,0,Non-Competitive
43,51,0,0,Non-Competitive
44,43,0,0,Non-Competitive
45,42,0,1,Non-Competitive
46,48,0,1,Non-Competitive
47,22,0,0,Non-Competitive
48,68,0,1,Non-Competitive
49,60,0,1,Non-Competitive
50,38,0,0,Non-Competitive
51,57,0,0,Non-Competitive
52,78,0,1,Non-Competitive
53,21,0,0,Non-Competitive
54,76,0,1,Non-Competitive
55,17,0,0,Non-Competitive
56,34,0,0,Non-Competitive
57,21,0,1,Non-Competitive
58,57,0,0,Non-Competitive
59,72,0,0,Non-Competitive
60,54,0,1,Non-Competitive
61,57,0,1,Non-Competitive
62,82,0,1,Non-Competitive
63,4,0,0,Non-Competitive
64,17,0,1,Non-Competitive
65,61,0,0,Non-Competitive
66,80,0,1,Non-Competitive
67,7,0,1,Non-Competitive
68,74,0,0,Non-Competitive
69,7,0,1,Non-Competitive
70,83,0,0,Non-Competitive
71,14,0,0,Non-Competitive
72,64,0,0,Non-Competitive
73,7,0,1,Non-Competitive
74,52,0,0,Non-Competitive
75,56,0,0,Non-Competitive
76,47,0,1,Non-Competitive
77,40,0,1,Non-Competitive
78,9,0,0,Non-Competitive
79,75,0,1,Non-Competitive
80,42,0,1,Non-Competitive
81,46,0,1,Non-Competitive
82,80,0,0,Non-Competitive
83,37,0,0,Non-Competitive
84,62,0,0,Non-Competitive
85,46,0,1,Non-Competitive
86,26,0,1,Non-Competitive
87,4,0,0,Non-Competitive
88,59,0,1,Non-Competitive
89,23,0,0,Non-Competitive
90,57,0,1,Non-Competitive
91,72,0,0,Non-Competitive
92,66,0,1,Non-Competitive
93,54,0,0,Non-Competitive
94,72,0,1,Non-Competitive
95,39,0,1,Non-Competitive
96,27,0,1,Non-Competitive
97,13,0,0,Non-Competitive
98,52,0,1,Non-Competitive
99,25,0,1,Non-Competitive
