,Age,Role Models,Competitiveness,Access compared to Male counterparts,Role Model category,Competitiveness category,Access Category,Participation rate
4,12,0,Competitive,<50%,Low,Low,Low,Low
7,22,0,Competitive,<50%,Low,Low,Low,Low
20,45,0,Competitive,<50%,Low,Low,Low,Low
21,33,0,Competitive,<50%,Low,Low,Low,Low
43,59,0,Competitive,<50%,Low,Low,Low,Low
65,8,0,Competitive,<50%,Low,Low,Low,Low
67,61,0,Competitive,<50%,Low,Low,Low,Low
74,32,0,Competitive,<50%,Low,Low,Low,Low
86,49,0,Competitive,<50%,Low,Low,Low,Low
89,41,0,Competitive,<50%,Low,Low,Low,Low
91,4,0,Competitive,<50%,Low,Low,Low,Low
96,22,0,Competitive,<50%,Low,Low,Low,Low
1,16,1,Competitive,<50%,Low,Low,Low,Low
8,61,1,Competitive,<50%,Low,Low,Low,Low
19,15,1,Competitive,<50%,Low,Low,Low,Low
33,13,1,Competitive,<50%,Low,Low,Low,Low
39,9,1,Competitive,<50%,Low,Low,Low,Low
44,25,1,Competitive,<50%,Low,Low,Low,Low
48,31,1,Competitive,<50%,Low,Low,Low,Low
58,12,1,Competitive,<50%,Low,Low,Low,Low
66,35,1,Competitive,<50%,Low,Low,Low,Low
69,41,1,Competitive,<50%,Low,Low,Low,Low
70,58,1,Competitive,<50%,Low,Low,Low,Low
82,7,1,Competitive,<50%,Low,Low,Low,Low
85,19,1,Competitive,<50%,Low,Low,Low,Low
87,40,1,Competitive,<50%,Low,Low,Low,Low
92,15,1,Competitive,<50%,Low,Low,Low,Low
98,32,1,Competitive,<50%,Low,Low,Low,Low
5,57,2,Competitive,<50%,Medium,Low,Low,Low
9,43,2,Competitive,<50%,Medium,Low,Low,Low
29,26,2,Competitive,<50%,Medium,Low,Low,Low
36,27,2,Competitive,<50%,Medium,Low,Low,Low
59,52,2,Competitive,<50%,Medium,Low,Low,Low
60,29,2,Competitive,<50%,Medium,Low,Low,Low
64,54,2,Competitive,<50%,Medium,Low,Low,Low
90,25,2,Competitive,<50%,Medium,Low,Low,Low
14,22,3,Competitive,<50%,Medium,Low,Low,Low
15,58,3,Competitive,<50%,Medium,Low,Low,Low
47,37,3,Competitive,<50%,Medium,Low,Low,Low
57,49,3,Competitive,<50%,Medium,Low,Low,Low
63,17,3,Competitive,<50%,Medium,Low,Low,Low
71,18,3,Competitive,<50%,Medium,Low,Low,Low
75,32,3,Competitive,<50%,Medium,Low,Low,Low
80,31,3,Competitive,<50%,Medium,Low,Low,Low
46,44,4,Competitive,<50%,Medium,Low,Low,Low
