,Age,Role Models,Competitiveness,Access compared to Male counterparts,Role Model category,Competitiveness category,Access Category,Participation rate
0,13,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
1,19,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
2,21,1,Competitive,Equal,Current rate,Current rate,Optimum rate,Current rate
3,18,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
4,55,4,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
5,20,1,Equally Competitive & Non-Competitive,50% to 100%,Current rate,Expected rate,Expected rate,Expected rate
6,64,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
7,56,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
8,22,7,Competitive,<50%,Optimum rate,Current rate,Current rate,Current rate
9,4,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
10,19,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
11,14,2,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate
12,9,2,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
13,65,3,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate
14,18,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
15,25,1,Competitive,Equal,Current rate,Current rate,Optimum rate,Current rate
16,35,6,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
17,8,0,Non-Competitive,50% to 100%,Current rate,Optimum rate,Expected rate,Expected rate
18,15,6,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
19,48,4,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
20,28,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
21,41,0,Non-Competitive,Equal,Current rate,Optimum rate,Optimum rate,Optimum rate
22,12,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
23,58,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
24,17,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
25,10,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
26,43,0,Non-Competitive,<50%,Current rate,Optimum rate,Current rate,Current rate
27,27,1,Competitive,Equal,Current rate,Current rate,Optimum rate,Current rate
28,47,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
29,19,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
30,29,2,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
31,50,7,Competitive,<50%,Optimum rate,Current rate,Current rate,Current rate
32,30,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
33,15,7,Competitive,<50%,Optimum rate,Current rate,Current rate,Current rate
34,44,1,Competitive,50% to 100%,Current rate,Current rate,Expected rate,Current rate
35,50,3,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate
36,51,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
37,34,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
38,53,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
39,59,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
40,60,4,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate
41,56,1,Non-Competitive,<50%,Current rate,Optimum rate,Current rate,Current rate
42,20,7,Competitive,Equal,Optimum rate,Current rate,Optimum rate,Optimum rate
43,4,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
44,47,0,Equally Competitive & Non-Competitive,Equal,Current rate,Expected rate,Optimum rate,Expected rate
45,27,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
46,58,3,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate
47,4,7,Competitive,<50%,Optimum rate,Current rate,Current rate,Current rate
48,40,0,Competitive,50% to 100%,Current rate,Current rate,Expected rate,Current rate
49,24,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
50,48,9,Equally Competitive & Non-Competitive,<50%,Optimum rate,Expected rate,Current rate,Expected rate
51,45,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
52,29,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
53,58,1,Non-Competitive,<50%,Current rate,Optimum rate,Current rate,Current rate
54,10,5,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate
55,65,1,Competitive,50% to 100%,Current rate,Current rate,Expected rate,Current rate
56,21,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
57,42,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
58,16,6,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate
59,54,5,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
60,32,5,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
61,4,4,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
62,18,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
63,21,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
64,32,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
65,37,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
66,11,3,Competitive,Equal,Expected rate,Current rate,Optimum rate,Expected rate
67,52,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
68,58,9,Competitive,<50%,Optimum rate,Current rate,Current rate,Current rate
69,37,0,Competitive,50% to 100%,Current rate,Current rate,Expected rate,Current rate
70,61,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
71,30,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
72,37,6,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
73,20,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
74,11,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
75,56,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
76,51,0,Competitive,50% to 100%,Current rate,Current rate,Expected rate,Current rate
77,5,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
78,64,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
79,47,1,Competitive,50% to 100%,Current rate,Current rate,Expected rate,Current rate
80,27,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
81,20,8,Equally Competitive & Non-Competitive,<50%,Optimum rate,Expected rate,Current rate,Expected rate
82,44,3,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate
83,64,2,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
84,56,4,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
85,46,0,Competitive,50% to 100%,Current rate,Current rate,Expected rate,Current rate
86,46,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
87,22,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
88,5,2,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate
89,56,8,Equally Competitive & Non-Competitive,<50%,Optimum rate,Expected rate,Current rate,Expected rate
90,36,5,Equally Competitive & Non-Competitive,Equal,Expected rate,Expected rate,Optimum rate,Expected rate
91,63,3,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
92,15,2,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
93,26,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
94,8,0,Non-Competitive,<50%,Current rate,Optimum rate,Current rate,Current rate
95,13,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
96,63,6,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate
97,4,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
98,29,1,Equally Competitive & Non-Competitive,50% to 100%,Current rate,Expected rate,Expected rate,Expected rate
99,10,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
