,Age,Role Models,Competitiveness,Access compared to Male counterparts,Role Model category,Competitiveness category,Access Category,Participation rate
0,14,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
1,15,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
2,13,4,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
3,13,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
4,19,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
5,13,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
6,16,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
7,12,8,Competitive,<50%,Optimum rate,Current rate,Current rate,Current rate
8,11,8,Equally Competitive & Non-Competitive,<50%,Optimum rate,Expected rate,Current rate,Expected rate
9,16,6,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
10,13,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
11,13,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
12,17,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
13,17,4,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
14,10,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
15,10,2,Equally Competitive & Non-Competitive,50% to 75%,Expected rate,Expected rate,Optimum rate,Expected rate
16,10,8,Competitive,<50%,Optimum rate,Current rate,Current rate,Current rate
17,11,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
18,12,4,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
19,17,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
20,12,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
21,15,5,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
22,17,0,Non-Competitive,<50%,Current rate,Optimum rate,Current rate,Current rate
23,14,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
24,16,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
25,12,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
26,17,1,Competitive,50% to 75%,Current rate,Current rate,Optimum rate,Current rate
27,10,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
28,19,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
29,10,3,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
30,16,2,Equally Competitive & Non-Competitive,50% to 75%,Expected rate,Expected rate,Optimum rate,Expected rate
31,15,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
32,18,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
33,11,4,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
34,19,4,Competitive,76% to 99%,Expected rate,Current rate,Optimum rate,Expected rate
35,18,0,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
36,13,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
37,18,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
38,18,2,Equally Competitive & Non-Competitive,50% to 75%,Expected rate,Expected rate,Optimum rate,Expected rate
39,11,0,Non-Competitive,<50%,Current rate,Optimum rate,Current rate,Current rate
40,16,7,Competitive,<50%,Optimum rate,Current rate,Current rate,Current rate
41,13,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
42,14,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
43,13,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
44,17,4,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
45,15,3,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
46,18,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
47,17,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
48,12,0,Equally Competitive & Non-Competitive,50% to 75%,Current rate,Expected rate,Optimum rate,Expected rate
49,14,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
50,16,7,Competitive,<50%,Optimum rate,Current rate,Current rate,Current rate
51,13,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
52,15,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
53,13,4,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
54,11,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
55,18,0,Non-Competitive,<50%,Current rate,Optimum rate,Current rate,Current rate
56,14,4,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
57,15,4,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
58,18,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
59,10,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
60,11,0,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
61,15,0,Non-Competitive,<50%,Current rate,Optimum rate,Current rate,Current rate
