,Age,Role Models,Competitiveness1,Access
0,34,0,Competitive,<50%
1,13,8,Non-Competitive,<50%
2,62,1,Non-Competitive,50% to 100%
3,40,7,Competitive,<50%
4,59,3,Competitive,<50%
5,60,3,Competitive,<50%
6,34,2,Competitive,<50%
7,26,3,Competitive,50% to 100%
8,45,8,Competitive,<50%
9,28,8,Competitive,<50%
10,49,5,Competitive,<50%
11,21,0,Competitive,50% to 100%
12,62,9,Competitive,<50%
13,34,3,Non-Competitive,50% to 100%
14,25,3,Non-Competitive,<50%
15,20,10,Non-Competitive,<50%
16,65,6,Competitive,<50%
17,28,10,Competitive,50% to 100%
18,10,1,Competitive,<50%
19,49,0,Competitive,<50%
20,7,3,Competitive,<50%
21,12,7,Non-Competitive,<50%
22,9,0,Competitive,Equal
23,51,10,Non-Competitive,<50%
24,15,10,Competitive,<50%
25,23,7,Non-Competitive,<50%
26,33,4,Non-Competitive,<50%
27,32,1,Competitive,<50%
28,19,7,Non-Competitive,<50%
29,28,4,Competitive,<50%
30,41,4,Non-Competitive,<50%
31,23,9,Competitive,<50%
32,56,10,Competitive,50% to 100%
33,57,10,Competitive,<50%
34,43,8,Non-Competitive,<50%
35,38,5,Non-Competitive,<50%
36,29,3,Competitive,50% to 100%
37,20,9,Non-Competitive,50% to 100%
38,56,2,Competitive,<50%
39,55,1,Competitive,<50%
40,57,0,Competitive,Equal
41,16,0,Competitive,<50%
42,8,10,Competitive,<50%
43,7,3,Competitive,<50%
44,59,6,Competitive,<50%
45,31,9,Competitive,<50%
46,59,9,Competitive,<50%
47,45,2,Competitive,<50%
48,22,5,Competitive,<50%
49,58,8,Competitive,<50%
50,9,1,Competitive,<50%
51,42,0,Competitive,<50%
52,40,2,Non-Competitive,50% to 100%
53,56,10,Competitive,<50%
54,24,3,Competitive,<50%
55,46,0,Non-Competitive,<50%
56,59,5,Non-Competitive,50% to 100%
57,52,3,Competitive,<50%
58,56,10,Competitive,<50%
59,31,10,Competitive,<50%
60,43,0,Competitive,50% to 100%
61,21,2,Competitive,50% to 100%
62,58,8,Non-Competitive,<50%
63,4,4,Competitive,<50%
64,58,2,Competitive,Equal
65,37,5,Competitive,50% to 100%
66,29,4,Non-Competitive,<50%
67,56,7,Competitive,<50%
68,59,4,Competitive,50% to 100%
69,61,2,Non-Competitive,50% to 100%
70,21,0,Competitive,<50%
71,14,7,Competitive,<50%
72,50,5,Competitive,50% to 100%
73,22,5,Competitive,<50%
74,18,6,Competitive,<50%
75,48,1,Competitive,50% to 100%
76,45,2,Competitive,<50%
77,55,0,Competitive,Equal
78,15,4,Competitive,<50%
79,49,7,Competitive,<50%
80,24,6,Competitive,50% to 100%
81,55,1,Competitive,<50%
82,38,0,Competitive,<50%
83,30,2,Competitive,<50%
84,20,9,Competitive,50% to 100%
85,15,9,Non-Competitive,Equal
86,63,8,Competitive,Equal
87,60,4,Competitive,<50%
88,17,8,Non-Competitive,<50%
89,60,7,Competitive,<50%
90,56,9,Competitive,<50%
91,33,3,Competitive,50% to 100%
92,62,3,Competitive,<50%
93,8,6,Competitive,<50%
94,22,0,Competitive,<50%
95,23,10,Competitive,<50%
96,48,3,Competitive,<50%
97,60,7,Non-Competitive,50% to 100%
98,63,5,Competitive,50% to 100%
99,6,1,Competitive,Equal
