,Age,Role Models,Competitiveness,Access compared to Male counterparts,Role Model category,Competitiveness category,Access Category,Participation rate
0,44,5,Non-Competitive,76% to 99%,Expected rate,Optimum rate,Optimum rate,Optimum rate
1,31,8,Equally Competitive & Non-Competitive,50% to 75%,Optimum rate,Expected rate,Optimum rate,Optimum rate
2,25,1,Equally Competitive & Non-Competitive,50% to 75%,Current rate,Expected rate,Optimum rate,Expected rate
3,16,3,Equally Competitive & Non-Competitive,50% to 75%,Expected rate,Expected rate,Optimum rate,Expected rate
4,59,2,Competitive,76% to 99%,Expected rate,Current rate,Optimum rate,Expected rate
5,15,9,Competitive,<50%,Optimum rate,Current rate,Current rate,Current rate
6,16,8,Competitive,50% to 75%,Optimum rate,Current rate,Optimum rate,Optimum rate
7,33,2,Competitive,76% to 99%,Expected rate,Current rate,Optimum rate,Expected rate
8,52,0,Competitive,Equal,Current rate,Current rate,Optimum rate,Current rate
9,28,5,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
10,64,2,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate
11,12,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
12,54,0,Non-Competitive,50% to 75%,Current rate,Optimum rate,Optimum rate,Optimum rate
13,64,2,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
14,8,7,Competitive,<50%,Optimum rate,Current rate,Current rate,Current rate
15,28,0,Competitive,76% to 99%,Current rate,Current rate,Optimum rate,Current rate
16,41,2,Competitive,76% to 99%,Expected rate,Current rate,Optimum rate,Expected rate
17,4,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
18,20,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
19,25,3,Non-Competitive,50% to 75%,Expected rate,Optimum rate,Optimum rate,Optimum rate
20,49,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
21,53,6,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
22,58,6,Competitive,50% to 75%,Expected rate,Current rate,Optimum rate,Expected rate
23,45,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
24,59,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
25,40,3,Equally Competitive & Non-Competitive,Equal,Expected rate,Expected rate,Optimum rate,Expected rate
26,22,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
27,43,2,Competitive,76% to 99%,Expected rate,Current rate,Optimum rate,Expected rate
