,Age,Role Models,Competitiveness,Access compared to Male counterparts,Role Model category,Competitiveness category,Access Category,Participation rate
0,52,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
1,32,1,Competitive,50% to 100%,Current rate,Current rate,Expected rate,Current rate
2,57,6,Equally Competitive & Non-Competitive,50% to 100%,Expected rate,Expected rate,Expected rate,Expected rate
3,43,2,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate
4,31,3,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate
5,55,9,Non-Competitive,<50%,Optimum rate,Optimum rate,Current rate,Optimum rate
6,29,7,Competitive,<50%,Optimum rate,Current rate,Current rate,Current rate
7,64,1,Competitive,Equal,Current rate,Current rate,Optimum rate,Current rate
8,40,8,Competitive,50% to 100%,Optimum rate,Current rate,Expected rate,Expected rate
9,42,2,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate
10,24,1,Non-Competitive,<50%,Current rate,Optimum rate,Current rate,Current rate
11,41,5,Competitive,Equal,Expected rate,Current rate,Optimum rate,Expected rate
12,10,5,Equally Competitive & Non-Competitive,50% to 100%,Expected rate,Expected rate,Expected rate,Expected rate
13,42,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
14,50,5,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
15,16,7,Equally Competitive & Non-Competitive,50% to 100%,Optimum rate,Expected rate,Expected rate,Expected rate
16,26,3,Equally Competitive & Non-Competitive,50% to 100%,Expected rate,Expected rate,Expected rate,Expected rate
17,41,0,Competitive,Equal,Current rate,Current rate,Optimum rate,Current rate
18,4,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
19,53,2,Equally Competitive & Non-Competitive,50% to 100%,Expected rate,Expected rate,Expected rate,Expected rate
20,50,9,Equally Competitive & Non-Competitive,50% to 100%,Optimum rate,Expected rate,Expected rate,Expected rate
21,42,9,Competitive,50% to 100%,Optimum rate,Current rate,Expected rate,Expected rate
22,35,6,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
23,14,3,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate
24,47,6,Equally Competitive & Non-Competitive,50% to 100%,Expected rate,Expected rate,Expected rate,Expected rate
25,35,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
26,26,7,Competitive,Equal,Optimum rate,Current rate,Optimum rate,Optimum rate
27,20,3,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate
28,53,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
29,63,6,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
