,Age,Role Models,Competitiveness,Access compared to Male counterparts,Role Model category,Competitiveness category,Access Category,Participation rate
0,28,4,Equal Competitive & Non-Competitive,50% to 100%,Medium,Medium,Medium,Medium
1,12,4,Equal Competitive & Non-Competitive,50% to 100%,Medium,Medium,Medium,Medium
2,33,7,Non-Competitive,<50%,High,High,Low,Low
3,49,9,Competitive,<50%,High,Low,Low,Low
4,58,6,Equal Competitive & Non-Competitive,<50%,Medium,Medium,Low,Low
5,45,2,Equal Competitive & Non-Competitive,<50%,Medium,Medium,Low,Low
6,44,3,Competitive,<50%,Medium,Low,Low,Low
7,48,0,Competitive,<50%,Low,Low,Low,Low
8,5,2,Competitive,<50%,Medium,Low,Low,Low
9,7,0,Competitive,50% to 100%,Low,Low,Medium,Low
10,51,0,Competitive,<50%,Low,Low,Low,Low
11,45,7,Equal Competitive & Non-Competitive,<50%,High,Medium,Low,Low
12,11,6,Competitive,<50%,Medium,Low,Low,Low
13,32,1,Competitive,<50%,Low,Low,Low,Low
14,31,0,Equal Competitive & Non-Competitive,50% to 100%,Low,Medium,Medium,Low
15,42,0,Competitive,<50%,Low,Low,Low,Low
16,32,1,Competitive,Equal,Low,Low,High,Low
17,12,5,Equal Competitive & Non-Competitive,<50%,Medium,Medium,Low,Low
18,4,0,Equal Competitive & Non-Competitive,<50%,Low,Medium,Low,Low
19,9,0,Non-Competitive,<50%,Low,High,Low,Low
20,5,0,Equal Competitive & Non-Competitive,50% to 100%,Low,Medium,Medium,Low
21,16,5,Equal Competitive & Non-Competitive,50% to 100%,Medium,Medium,Medium,Medium
22,24,9,Equal Competitive & Non-Competitive,<50%,High,Medium,Low,Low
23,5,2,Competitive,50% to 100%,Medium,Low,Medium,Low
24,33,6,Competitive,<50%,Medium,Low,Low,Low
25,5,7,Competitive,<50%,High,Low,Low,Low
26,37,7,Non-Competitive,<50%,High,High,Low,Low
27,10,2,Competitive,<50%,Medium,Low,Low,Low
28,47,1,Non-Competitive,<50%,Low,High,Low,Low
29,36,1,Competitive,Equal,Low,Low,High,Low
30,46,8,Competitive,<50%,High,Low,Low,Low
31,63,3,Competitive,Equal,Medium,Low,High,Low
32,61,0,Competitive,<50%,Low,Low,Low,Low
33,44,3,Competitive,<50%,Medium,Low,Low,Low
34,30,9,Equal Competitive & Non-Competitive,<50%,High,Medium,Low,Low
35,21,6,Competitive,50% to 100%,Medium,Low,Medium,Low
36,21,5,Competitive,<50%,Medium,Low,Low,Low
37,8,1,Non-Competitive,<50%,Low,High,Low,Low
38,48,0,Competitive,<50%,Low,Low,Low,Low
39,8,8,Equal Competitive & Non-Competitive,<50%,High,Medium,Low,Low
40,49,0,Competitive,50% to 100%,Low,Low,Medium,Low
41,57,7,Competitive,Equal,High,Low,High,Low
42,12,0,Competitive,<50%,Low,Low,Low,Low
43,47,0,Equal Competitive & Non-Competitive,<50%,Low,Medium,Low,Low
44,18,3,Competitive,<50%,Medium,Low,Low,Low
45,35,6,Competitive,<50%,Medium,Low,Low,Low
46,4,0,Equal Competitive & Non-Competitive,<50%,Low,Medium,Low,Low
47,24,1,Competitive,<50%,Low,Low,Low,Low
48,32,0,Competitive,<50%,Low,Low,Low,Low
49,63,6,Equal Competitive & Non-Competitive,Equal,Medium,Medium,High,Medium
50,20,5,Equal Competitive & Non-Competitive,<50%,Medium,Medium,Low,Low
51,18,3,Competitive,<50%,Medium,Low,Low,Low
52,22,3,Competitive,<50%,Medium,Low,Low,Low
53,4,0,Equal Competitive & Non-Competitive,<50%,Low,Medium,Low,Low
54,19,3,Competitive,<50%,Medium,Low,Low,Low
55,16,7,Equal Competitive & Non-Competitive,<50%,High,Medium,Low,Low
56,48,6,Competitive,<50%,Medium,Low,Low,Low
57,14,0,Competitive,<50%,Low,Low,Low,Low
58,27,0,Equal Competitive & Non-Competitive,50% to 100%,Low,Medium,Medium,Low
59,60,2,Competitive,<50%,Medium,Low,Low,Low
60,65,3,Equal Competitive & Non-Competitive,<50%,Medium,Medium,Low,Low
61,62,0,Equal Competitive & Non-Competitive,<50%,Low,Medium,Low,Low
62,45,9,Competitive,<50%,High,Low,Low,Low
63,7,1,Competitive,<50%,Low,Low,Low,Low
64,40,0,Equal Competitive & Non-Competitive,<50%,Low,Medium,Low,Low
65,8,5,Competitive,<50%,Medium,Low,Low,Low
66,15,0,Equal Competitive & Non-Competitive,50% to 100%,Low,Medium,Medium,Low
67,18,0,Competitive,<50%,Low,Low,Low,Low
68,55,3,Competitive,<50%,Medium,Low,Low,Low
69,24,0,Non-Competitive,<50%,Low,High,Low,Low
70,23,0,Equal Competitive & Non-Competitive,50% to 100%,Low,Medium,Medium,Low
71,9,6,Competitive,<50%,Medium,Low,Low,Low
72,16,4,Equal Competitive & Non-Competitive,<50%,Medium,Medium,Low,Low
73,42,3,Competitive,50% to 100%,Medium,Low,Medium,Low
74,39,1,Competitive,<50%,Low,Low,Low,Low
75,64,6,Competitive,<50%,Medium,Low,Low,Low
76,22,5,Equal Competitive & Non-Competitive,<50%,Medium,Medium,Low,Low
77,21,0,Competitive,50% to 100%,Low,Low,Medium,Low
78,15,4,Competitive,50% to 100%,Medium,Low,Medium,Low
79,23,0,Equal Competitive & Non-Competitive,<50%,Low,Medium,Low,Low
