,Age,Role Models,Competitiveness,Access compared to Male counterparts,Role Model category,Competitiveness category,Access Category,Participation rate
0,58,6,Competitive,50% to 100%,Medium,Low,Medium,Low
1,39,1,Competitive,<50%,Low,Low,Low,Low
2,53,3,Non-Competitive,<50%,Medium,Medium,Low,Low
3,58,0,Competitive,<50%,Low,Low,Low,Low
4,29,0,Competitive,<50%,Low,Low,Low,Low
5,42,0,Competitive,<50%,Low,Low,Low,Low
6,14,5,Competitive,50% to 100%,Medium,Low,Medium,Low
7,62,7,Competitive,<50%,High,Low,Low,Low
8,42,0,Non-Competitive,50% to 100%,Low,Medium,Medium,Low
9,21,0,Competitive,<50%,Low,Low,Low,Low
10,42,9,Competitive,50% to 100%,High,Low,Medium,Low
11,11,6,Competitive,50% to 100%,Medium,Low,Medium,Low
12,14,9,Competitive,<50%,High,Low,Low,Low
13,28,2,Competitive,<50%,Medium,Low,Low,Low
14,9,9,Competitive,<50%,High,Low,Low,Low
15,54,5,Competitive,<50%,Medium,Low,Low,Low
16,52,7,Competitive,<50%,High,Low,Low,Low
17,20,5,Competitive,<50%,Medium,Low,Low,Low
18,12,10,Non-Competitive,50% to 100%,High,Medium,Medium,Medium
19,12,3,Non-Competitive,<50%,Medium,Medium,Low,Low
20,38,7,Competitive,<50%,High,Low,Low,Low
21,63,7,Competitive,<50%,High,Low,Low,Low
22,18,1,Non-Competitive,50% to 100%,Low,Medium,Medium,Low
23,31,6,Competitive,50% to 100%,Medium,Low,Medium,Low
24,51,1,Competitive,<50%,Low,Low,Low,Low
25,47,3,Competitive,Equal,Medium,Low,High,Low
26,4,3,Competitive,<50%,Medium,Low,Low,Low
27,35,4,Competitive,50% to 100%,Medium,Low,Medium,Low
28,38,3,Competitive,50% to 100%,Medium,Low,Medium,Low
29,29,1,Non-Competitive,<50%,Low,Medium,Low,Low
30,8,9,Competitive,<50%,High,Low,Low,Low
31,5,1,Competitive,<50%,Low,Low,Low,Low
32,46,4,Competitive,<50%,Medium,Low,Low,Low
33,26,4,Competitive,<50%,Medium,Low,Low,Low
34,42,1,Competitive,50% to 100%,Low,Low,Medium,Low
35,32,2,Competitive,<50%,Medium,Low,Low,Low
36,49,6,Competitive,<50%,Medium,Low,Low,Low
37,5,10,Competitive,<50%,High,Low,Low,Low
38,28,2,Non-Competitive,<50%,Medium,Medium,Low,Low
39,40,2,Competitive,<50%,Medium,Low,Low,Low
40,37,10,Non-Competitive,<50%,High,Medium,Low,Low
41,25,4,Competitive,<50%,Medium,Low,Low,Low
42,56,4,Non-Competitive,<50%,Medium,Medium,Low,Low
43,5,0,Non-Competitive,<50%,Low,Medium,Low,Low
44,24,10,Competitive,<50%,High,Low,Low,Low
45,64,7,Competitive,<50%,High,Low,Low,Low
46,43,5,Non-Competitive,<50%,Medium,Medium,Low,Low
47,4,6,Non-Competitive,<50%,Medium,Medium,Low,Low
48,13,8,Competitive,<50%,High,Low,Low,Low
49,13,1,Non-Competitive,<50%,Low,Medium,Low,Low
50,13,0,Competitive,<50%,Low,Low,Low,Low
51,61,10,Competitive,<50%,High,Low,Low,Low
52,9,7,Competitive,<50%,High,Low,Low,Low
53,53,10,Competitive,<50%,High,Low,Low,Low
54,49,1,Competitive,<50%,Low,Low,Low,Low
55,49,0,Competitive,50% to 100%,Low,Low,Medium,Low
56,50,6,Competitive,<50%,Medium,Low,Low,Low
