,Age,Role Models,Competitiveness,Access compared to Male counterparts,Role Model category,Competitiveness category,Access Category,Participation rate
0,34,8,Non-Competitive,Equal,High,Medium,High,High
1,56,3,Non-Competitive,Equal,Medium,Medium,High,Medium
2,21,2,Non-Competitive,50% to 100%,Medium,Medium,Medium,Medium
3,9,1,Non-Competitive,50% to 100%,Low,Medium,Medium,Medium
4,58,9,Non-Competitive,Equal,High,Medium,High,High
5,62,7,Non-Competitive,<50%,High,Medium,Low,Medium
6,34,1,Competitive,<50%,Low,Low,Low,Low
7,39,5,Non-Competitive,50% to 100%,Medium,Medium,Medium,Medium
8,42,8,Non-Competitive,<50%,High,Medium,Low,Medium
9,23,0,Competitive,50% to 100%,Low,Low,Medium,Low
10,60,1,Competitive,50% to 100%,Low,Low,Medium,Low
11,13,3,Competitive,50% to 100%,Medium,Low,Medium,Medium
12,11,6,Non-Competitive,<50%,Medium,Medium,Low,Medium
13,20,1,Competitive,50% to 100%,Low,Low,Medium,Low
14,7,2,Competitive,50% to 100%,Medium,Low,Medium,Medium
15,47,8,Competitive,<50%,High,Low,Low,Low
16,43,3,Non-Competitive,50% to 100%,Medium,Medium,Medium,Medium
17,57,3,Non-Competitive,50% to 100%,Medium,Medium,Medium,Medium
18,31,3,Competitive,50% to 100%,Medium,Low,Medium,Medium
19,61,1,Competitive,<50%,Low,Low,Low,Low
20,13,9,Non-Competitive,<50%,High,Medium,Low,Medium
21,11,3,Non-Competitive,50% to 100%,Medium,Medium,Medium,Medium
22,63,1,Non-Competitive,50% to 100%,Low,Medium,Medium,Medium
23,63,6,Non-Competitive,<50%,Medium,Medium,Low,Medium
24,29,1,Non-Competitive,<50%,Low,Medium,Low,Low
25,35,9,Competitive,50% to 100%,High,Low,Medium,Medium
26,14,2,Non-Competitive,<50%,Medium,Medium,Low,Medium
27,31,2,Competitive,50% to 100%,Medium,Low,Medium,Medium
28,7,5,Non-Competitive,<50%,Medium,Medium,Low,Medium
29,43,4,Competitive,50% to 100%,Medium,Low,Medium,Medium
30,51,2,Non-Competitive,<50%,Medium,Medium,Low,Medium
31,27,8,Non-Competitive,<50%,High,Medium,Low,Medium
32,18,5,Competitive,50% to 100%,Medium,Low,Medium,Medium
33,24,7,Non-Competitive,50% to 100%,High,Medium,Medium,Medium
34,5,7,Non-Competitive,<50%,High,Medium,Low,Medium
35,59,6,Competitive,<50%,Medium,Low,Low,Low
36,17,6,Competitive,<50%,Medium,Low,Low,Low
37,25,9,Non-Competitive,50% to 100%,High,Medium,Medium,Medium
38,30,9,Non-Competitive,<50%,High,Medium,Low,Medium
39,26,7,Non-Competitive,Equal,High,Medium,High,High
40,34,8,Non-Competitive,50% to 100%,High,Medium,Medium,Medium
41,36,2,Non-Competitive,50% to 100%,Medium,Medium,Medium,Medium
42,48,2,Competitive,<50%,Medium,Low,Low,Low
43,14,9,Competitive,50% to 100%,High,Low,Medium,Medium
44,31,1,Non-Competitive,50% to 100%,Low,Medium,Medium,Medium
45,59,1,Non-Competitive,<50%,Low,Medium,Low,Low
46,45,2,Competitive,50% to 100%,Medium,Low,Medium,Medium
47,65,6,Non-Competitive,<50%,Medium,Medium,Low,Medium
48,32,2,Competitive,50% to 100%,Medium,Low,Medium,Medium
49,5,4,Competitive,<50%,Medium,Low,Low,Low
50,14,1,Non-Competitive,<50%,Low,Medium,Low,Low
51,52,4,Competitive,50% to 100%,Medium,Low,Medium,Medium
52,43,4,Competitive,<50%,Medium,Low,Low,Low
53,41,2,Competitive,Equal,Medium,Low,High,Medium
54,39,1,Non-Competitive,<50%,Low,Medium,Low,Low
55,14,7,Non-Competitive,<50%,High,Medium,Low,Medium
56,15,2,Competitive,50% to 100%,Medium,Low,Medium,Medium
57,45,3,Non-Competitive,50% to 100%,Medium,Medium,Medium,Medium
58,28,9,Non-Competitive,<50%,High,Medium,Low,Medium
59,54,0,Competitive,50% to 100%,Low,Low,Medium,Low
60,27,6,Competitive,<50%,Medium,Low,Low,Low
61,57,7,Competitive,<50%,High,Low,Low,Low
62,40,2,Competitive,<50%,Medium,Low,Low,Low
63,6,1,Non-Competitive,50% to 100%,Low,Medium,Medium,Medium
64,11,1,Non-Competitive,<50%,Low,Medium,Low,Low
65,21,7,Non-Competitive,50% to 100%,High,Medium,Medium,Medium
66,51,1,Competitive,<50%,Low,Low,Low,Low
67,64,9,Competitive,50% to 100%,High,Low,Medium,Medium
68,29,0,Competitive,<50%,Low,Low,Low,Low
69,49,6,Competitive,<50%,Medium,Low,Low,Low
70,53,3,Non-Competitive,<50%,Medium,Medium,Low,Medium
71,21,9,Non-Competitive,50% to 100%,High,Medium,Medium,Medium
72,15,3,Competitive,50% to 100%,Medium,Low,Medium,Medium
73,39,6,Competitive,50% to 100%,Medium,Low,Medium,Medium
74,17,1,Non-Competitive,<50%,Low,Medium,Low,Low
75,38,7,Competitive,Equal,High,Low,High,High
76,40,5,Competitive,50% to 100%,Medium,Low,Medium,Medium
77,40,2,Non-Competitive,Equal,Medium,Medium,High,Medium
78,24,2,Competitive,Equal,Medium,Low,High,Medium
79,30,8,Competitive,<50%,High,Low,Low,Low
80,11,6,Competitive,Equal,Medium,Low,High,Medium
81,65,2,Non-Competitive,Equal,Medium,Medium,High,Medium
82,35,2,Non-Competitive,50% to 100%,Medium,Medium,Medium,Medium
83,60,4,Competitive,<50%,Medium,Low,Low,Low
84,13,4,Non-Competitive,<50%,Medium,Medium,Low,Medium
85,37,4,Non-Competitive,<50%,Medium,Medium,Low,Medium
86,34,4,Non-Competitive,50% to 100%,Medium,Medium,Medium,Medium
87,18,4,Competitive,<50%,Medium,Low,Low,Low
88,31,5,Non-Competitive,50% to 100%,Medium,Medium,Medium,Medium
89,44,7,Non-Competitive,50% to 100%,High,Medium,Medium,Medium
90,28,7,Competitive,50% to 100%,High,Low,Medium,Medium
91,52,6,Competitive,50% to 100%,Medium,Low,Medium,Medium
92,43,4,Competitive,50% to 100%,Medium,Low,Medium,Medium
93,33,2,Competitive,<50%,Medium,Low,Low,Low
94,11,3,Non-Competitive,Equal,Medium,Medium,High,Medium
95,31,9,Competitive,<50%,High,Low,Low,Low
96,55,5,Competitive,<50%,Medium,Low,Low,Low
97,23,6,Non-Competitive,Equal,Medium,Medium,High,Medium
98,8,0,Competitive,50% to 100%,Low,Low,Medium,Low
99,36,3,Competitive,<50%,Medium,Low,Low,Low
