,Age,Role Models,Competitiveness,Access compared to Male counterparts,Role Model category,Competitiveness category,Access Category,Participation rate
0,39,2,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
1,47,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
2,34,0,Equally Competitive & Non-Competitive,50% to 100%,Current rate,Expected rate,Expected rate,Expected rate
3,5,1,Equally Competitive & Non-Competitive,50% to 100%,Current rate,Expected rate,Expected rate,Expected rate
4,58,8,Competitive,<50%,Optimum rate,Current rate,Current rate,Current rate
5,13,7,Equally Competitive & Non-Competitive,<50%,Optimum rate,Expected rate,Current rate,Expected rate
6,39,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
7,44,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
8,7,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
9,18,3,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate
10,15,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
11,34,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
12,33,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
13,28,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
14,49,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
15,5,6,Equally Competitive & Non-Competitive,Equal,Expected rate,Expected rate,Optimum rate,Expected rate
16,48,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
17,32,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
18,59,0,Non-Competitive,Equal,Current rate,Optimum rate,Optimum rate,Optimum rate
19,40,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
20,54,2,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate
21,52,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
22,46,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
23,37,6,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
24,36,2,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
25,51,0,Competitive,50% to 100%,Current rate,Current rate,Expected rate,Current rate
26,34,1,Competitive,50% to 100%,Current rate,Current rate,Expected rate,Current rate
27,65,0,Competitive,Equal,Current rate,Current rate,Optimum rate,Current rate
28,11,6,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
29,7,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
30,8,1,Competitive,50% to 100%,Current rate,Current rate,Expected rate,Current rate
31,6,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
32,17,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
33,56,2,Non-Competitive,50% to 100%,Expected rate,Optimum rate,Expected rate,Expected rate
34,7,1,Competitive,50% to 100%,Current rate,Current rate,Expected rate,Current rate
35,63,4,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
36,53,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
