,Age,Role Models,Competitiveness,Access compared to Male counterparts,Role Model category,Competitiveness category,Access Category,Participation rate
0,42,4,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate
1,26,2,Equally Competitive & Non-Competitive,50% to 100%,Expected rate,Expected rate,Expected rate,Expected rate
2,59,5,Equally Competitive & Non-Competitive,Equal,Expected rate,Expected rate,Optimum participation rate,Expected rate
3,49,3,Competitive,<50%,Expected rate,Current rate,Current participation rate,Expected rate
4,13,1,Competitive,50% to 100%,Current rate,Current rate,Expected rate,Current rate
5,29,1,Competitive,<50%,Current rate,Current rate,Current participation rate,Current rate
6,9,6,Equally Competitive & Non-Competitive,50% to 100%,Expected rate,Expected rate,Expected rate,Expected rate
7,57,4,Equally Competitive & Non-Competitive,50% to 100%,Expected rate,Expected rate,Expected rate,Expected rate
8,20,1,Non-Competitive,<50%,Current rate,Optimum rate,Current participation rate,Expected rate
9,59,3,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate
10,22,3,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current participation rate,Expected rate
11,45,7,Competitive,50% to 100%,Optimum rate,Current rate,Expected rate,Expected rate
12,39,1,Competitive,Equal,Current rate,Current rate,Optimum participation rate,Current rate
13,14,0,Competitive,<50%,Current rate,Current rate,Current participation rate,Current rate
14,14,7,Non-Competitive,<50%,Optimum rate,Optimum rate,Current participation rate,Optimum rate
15,48,4,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current participation rate,Expected rate
16,6,6,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current participation rate,Expected rate
17,49,1,Competitive,50% to 100%,Current rate,Current rate,Expected rate,Current rate
18,63,6,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate
19,65,4,Competitive,<50%,Expected rate,Current rate,Current participation rate,Expected rate
20,58,8,Equally Competitive & Non-Competitive,<50%,Optimum rate,Expected rate,Current participation rate,Expected rate
21,19,0,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current participation rate,Expected rate
22,61,3,Competitive,<50%,Expected rate,Current rate,Current participation rate,Expected rate
23,57,3,Equally Competitive & Non-Competitive,Equal,Expected rate,Expected rate,Optimum participation rate,Expected rate
24,62,6,Competitive,<50%,Expected rate,Current rate,Current participation rate,Expected rate
25,26,6,Non-Competitive,<50%,Expected rate,Optimum rate,Current participation rate,Expected rate
26,30,2,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate
27,7,7,Competitive,Equal,Optimum rate,Current rate,Optimum participation rate,Expected rate
28,44,0,Competitive,50% to 100%,Current rate,Current rate,Expected rate,Current rate
29,45,2,Equally Competitive & Non-Competitive,50% to 100%,Expected rate,Expected rate,Expected rate,Expected rate
30,55,1,Competitive,50% to 100%,Current rate,Current rate,Expected rate,Current rate
31,45,9,Competitive,<50%,Optimum rate,Current rate,Current participation rate,Expected rate
32,54,5,Competitive,<50%,Expected rate,Current rate,Current participation rate,Expected rate
33,27,6,Competitive,<50%,Expected rate,Current rate,Current participation rate,Expected rate
34,8,4,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate
35,17,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current participation rate,Expected rate
36,65,9,Competitive,<50%,Optimum rate,Current rate,Current participation rate,Expected rate
37,40,0,Competitive,<50%,Current rate,Current rate,Current participation rate,Current rate
38,14,2,Competitive,<50%,Expected rate,Current rate,Current participation rate,Expected rate
39,8,4,Equally Competitive & Non-Competitive,Equal,Expected rate,Expected rate,Optimum participation rate,Expected rate
40,28,8,Competitive,50% to 100%,Optimum rate,Current rate,Expected rate,Expected rate
41,53,1,Competitive,<50%,Current rate,Current rate,Current participation rate,Current rate
42,10,3,Competitive,Equal,Expected rate,Current rate,Optimum participation rate,Expected rate
43,50,2,Non-Competitive,Equal,Expected rate,Optimum rate,Optimum participation rate,Expected rate
44,35,7,Competitive,50% to 100%,Optimum rate,Current rate,Expected rate,Expected rate
45,33,9,Equally Competitive & Non-Competitive,<50%,Optimum rate,Expected rate,Current participation rate,Expected rate
46,29,1,Competitive,<50%,Current rate,Current rate,Current participation rate,Current rate
47,22,6,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate
48,10,6,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate
49,58,3,Equally Competitive & Non-Competitive,Equal,Expected rate,Expected rate,Optimum participation rate,Expected rate
50,8,9,Equally Competitive & Non-Competitive,50% to 100%,Optimum rate,Expected rate,Expected rate,Expected rate
51,28,0,Competitive,<50%,Current rate,Current rate,Current participation rate,Current rate
52,15,1,Competitive,<50%,Current rate,Current rate,Current participation rate,Current rate
53,51,9,Competitive,<50%,Optimum rate,Current rate,Current participation rate,Expected rate
54,11,6,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate
55,40,2,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current participation rate,Expected rate
56,30,1,Competitive,<50%,Current rate,Current rate,Current participation rate,Current rate
