,Age,Role Models,Competitiveness,Access compared to Male counterparts,Role Model category,Competitiveness category,Access Category,Participation rate
0,23,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
1,18,9,Competitive,50% to 100%,Optimum rate,Current rate,Expected rate,Expected rate
2,23,6,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate
3,23,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
4,14,3,Competitive,Equal,Expected rate,Current rate,Optimum rate,Expected rate
5,56,7,Competitive,50% to 100%,Optimum rate,Current rate,Expected rate,Expected rate
6,39,9,Equally Competitive & Non-Competitive,<50%,Optimum rate,Expected rate,Current rate,Expected rate
7,56,6,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
8,46,9,Competitive,Equal,Optimum rate,Current rate,Optimum rate,Optimum rate
9,13,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
10,40,3,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate
11,29,0,Non-Competitive,50% to 100%,Current rate,Optimum rate,Expected rate,Expected rate
12,16,5,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
13,29,9,Non-Competitive,Equal,Optimum rate,Optimum rate,Optimum rate,Optimum rate
14,34,2,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate
15,17,4,Competitive,Equal,Expected rate,Current rate,Optimum rate,Expected rate
16,7,7,Competitive,50% to 100%,Optimum rate,Current rate,Expected rate,Expected rate
17,27,7,Competitive,<50%,Optimum rate,Current rate,Current rate,Current rate
18,38,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
19,56,8,Non-Competitive,<50%,Optimum rate,Optimum rate,Current rate,Optimum rate
20,47,7,Competitive,<50%,Optimum rate,Current rate,Current rate,Current rate
21,26,0,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
22,18,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
23,18,5,Equally Competitive & Non-Competitive,50% to 100%,Expected rate,Expected rate,Expected rate,Expected rate
24,63,5,Non-Competitive,Equal,Expected rate,Optimum rate,Optimum rate,Optimum rate
25,42,2,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate
26,35,2,Competitive,Equal,Expected rate,Current rate,Optimum rate,Expected rate
27,37,3,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate
28,11,6,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
29,22,6,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
30,41,2,Equally Competitive & Non-Competitive,Equal,Expected rate,Expected rate,Optimum rate,Expected rate
31,22,1,Competitive,<50%,Current rate,Current rate,Current rate,Current rate
32,4,6,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate
33,9,1,Competitive,50% to 100%,Current rate,Current rate,Expected rate,Current rate
34,34,4,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
35,47,2,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
36,37,3,Equally Competitive & Non-Competitive,50% to 100%,Expected rate,Expected rate,Expected rate,Expected rate
37,65,9,Competitive,<50%,Optimum rate,Current rate,Current rate,Current rate
38,43,5,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate
39,63,7,Competitive,<50%,Optimum rate,Current rate,Current rate,Current rate
40,58,3,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
41,26,3,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
42,43,7,Equally Competitive & Non-Competitive,<50%,Optimum rate,Expected rate,Current rate,Expected rate
43,4,5,Equally Competitive & Non-Competitive,<50%,Expected rate,Expected rate,Current rate,Expected rate
44,48,1,Competitive,50% to 100%,Current rate,Current rate,Expected rate,Current rate
45,45,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
46,41,2,Competitive,<50%,Expected rate,Current rate,Current rate,Current rate
47,40,6,Non-Competitive,<50%,Expected rate,Optimum rate,Current rate,Expected rate
48,57,5,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate
49,50,2,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate
50,51,3,Competitive,Equal,Expected rate,Current rate,Optimum rate,Expected rate
51,55,1,Equally Competitive & Non-Competitive,<50%,Current rate,Expected rate,Current rate,Current rate
52,47,5,Competitive,50% to 100%,Expected rate,Current rate,Expected rate,Expected rate
